treatment,manager_slot,decision_number,pair_id,worker_1_is_a,assignment_seed
performance_only,1,1,279,1,20260714
performance_only,1,2,264,0,20260714
performance_only,1,3,47,0,20260714
performance_only,1,4,657,0,20260714
performance_only,1,5,354,1,20260714
performance_only,1,6,236,0,20260714
performance_only,1,7,692,1,20260714
performance_only,1,8,573,0,20260714
performance_only,1,9,62,0,20260714
performance_only,1,10,529,0,20260714
performance_only,1,11,136,0,20260714
performance_only,1,12,430,1,20260714
performance_only,1,13,569,0,20260714
performance_only,1,14,222,1,20260714
performance_only,1,15,451,1,20260714
performance_only,1,16,217,1,20260714
performance_only,1,17,485,1,20260714
performance_only,1,18,646,0,20260714
performance_only,1,19,499,0,20260714
performance_only,1,20,45,0,20260714
performance_only,1,21,350,0,20260714
performance_only,1,22,577,1,20260714
performance_only,1,23,501,1,20260714
performance_only,1,24,406,1,20260714
performance_only,1,25,691,0,20260714
performance_only,2,1,301,1,20260714
performance_only,2,2,681,0,20260714
performance_only,2,3,449,0,20260714
performance_only,2,4,124,0,20260714
performance_only,2,5,18,0,20260714
performance_only,2,6,34,1,20260714
performance_only,2,7,696,0,20260714
performance_only,2,8,552,1,20260714
performance_only,2,9,96,1,20260714
performance_only,2,10,660,0,20260714
performance_only,2,11,453,0,20260714
performance_only,2,12,409,1,20260714
performance_only,2,13,269,0,20260714
performance_only,2,14,328,0,20260714
performance_only,2,15,694,0,20260714
performance_only,2,16,390,1,20260714
performance_only,2,17,90,0,20260714
performance_only,2,18,337,0,20260714
performance_only,2,19,183,0,20260714
performance_only,2,20,229,0,20260714
performance_only,2,21,568,1,20260714
performance_only,2,22,284,1,20260714
performance_only,2,23,658,0,20260714
performance_only,2,24,509,1,20260714
performance_only,2,25,160,1,20260714
performance_only,3,1,238,1,20260714
performance_only,3,2,446,1,20260714
performance_only,3,3,572,1,20260714
performance_only,3,4,182,0,20260714
performance_only,3,5,55,1,20260714
performance_only,3,6,618,0,20260714
performance_only,3,7,329,0,20260714
performance_only,3,8,395,0,20260714
performance_only,3,9,516,0,20260714
performance_only,3,10,439,0,20260714
performance_only,3,11,543,1,20260714
performance_only,3,12,193,1,20260714
performance_only,3,13,634,0,20260714
performance_only,3,14,32,1,20260714
performance_only,3,15,432,1,20260714
performance_only,3,16,600,1,20260714
performance_only,3,17,475,1,20260714
performance_only,3,18,316,1,20260714
performance_only,3,19,593,0,20260714
performance_only,3,20,473,0,20260714
performance_only,3,21,622,0,20260714
performance_only,3,22,317,1,20260714
performance_only,3,23,368,1,20260714
performance_only,3,24,36,0,20260714
performance_only,3,25,196,1,20260714
performance_only,4,1,601,1,20260714
performance_only,4,2,612,0,20260714
performance_only,4,3,213,1,20260714
performance_only,4,4,412,0,20260714
performance_only,4,5,22,1,20260714
performance_only,4,6,447,0,20260714
performance_only,4,7,697,1,20260714
performance_only,4,8,253,1,20260714
performance_only,4,9,20,1,20260714
performance_only,4,10,389,0,20260714
performance_only,4,11,522,1,20260714
performance_only,4,12,434,0,20260714
performance_only,4,13,289,0,20260714
performance_only,4,14,261,0,20260714
performance_only,4,15,444,0,20260714
performance_only,4,16,358,1,20260714
performance_only,4,17,656,0,20260714
performance_only,4,18,459,0,20260714
performance_only,4,19,95,0,20260714
performance_only,4,20,408,1,20260714
performance_only,4,21,179,1,20260714
performance_only,4,22,411,1,20260714
performance_only,4,23,519,0,20260714
performance_only,4,24,244,1,20260714
performance_only,4,25,504,1,20260714
performance_only,5,1,257,0,20260714
performance_only,5,2,669,1,20260714
performance_only,5,3,483,0,20260714
performance_only,5,4,642,1,20260714
performance_only,5,5,327,0,20260714
performance_only,5,6,470,1,20260714
performance_only,5,7,445,0,20260714
performance_only,5,8,661,1,20260714
performance_only,5,9,550,1,20260714
performance_only,5,10,429,1,20260714
performance_only,5,11,52,1,20260714
performance_only,5,12,320,1,20260714
performance_only,5,13,97,1,20260714
performance_only,5,14,237,0,20260714
performance_only,5,15,302,1,20260714
performance_only,5,16,76,1,20260714
performance_only,5,17,391,1,20260714
performance_only,5,18,175,1,20260714
performance_only,5,19,1,0,20260714
performance_only,5,20,369,0,20260714
performance_only,5,21,433,0,20260714
performance_only,5,22,417,0,20260714
performance_only,5,23,81,0,20260714
performance_only,5,24,27,1,20260714
performance_only,5,25,248,0,20260714
performance_only,6,1,104,0,20260714
performance_only,6,2,255,1,20260714
performance_only,6,3,16,0,20260714
performance_only,6,4,668,1,20260714
performance_only,6,5,125,0,20260714
performance_only,6,6,93,1,20260714
performance_only,6,7,89,0,20260714
performance_only,6,8,385,1,20260714
performance_only,6,9,188,1,20260714
performance_only,6,10,607,0,20260714
performance_only,6,11,246,1,20260714
performance_only,6,12,359,0,20260714
performance_only,6,13,84,0,20260714
performance_only,6,14,494,1,20260714
performance_only,6,15,165,0,20260714
performance_only,6,16,351,0,20260714
performance_only,6,17,258,0,20260714
performance_only,6,18,698,1,20260714
performance_only,6,19,40,0,20260714
performance_only,6,20,180,1,20260714
performance_only,6,21,111,1,20260714
performance_only,6,22,580,0,20260714
performance_only,6,23,570,0,20260714
performance_only,6,24,13,0,20260714
performance_only,6,25,7,0,20260714
performance_only,7,1,184,1,20260714
performance_only,7,2,306,1,20260714
performance_only,7,3,436,1,20260714
performance_only,7,4,142,0,20260714
performance_only,7,5,533,0,20260714
performance_only,7,6,560,0,20260714
performance_only,7,7,665,1,20260714
performance_only,7,8,293,1,20260714
performance_only,7,9,6,1,20260714
performance_only,7,10,517,0,20260714
performance_only,7,11,129,1,20260714
performance_only,7,12,198,1,20260714
performance_only,7,13,381,0,20260714
performance_only,7,14,688,0,20260714
performance_only,7,15,505,0,20260714
performance_only,7,16,57,0,20260714
performance_only,7,17,625,0,20260714
performance_only,7,18,199,0,20260714
performance_only,7,19,116,0,20260714
performance_only,7,20,219,1,20260714
performance_only,7,21,659,0,20260714
performance_only,7,22,286,1,20260714
performance_only,7,23,105,0,20260714
performance_only,7,24,482,0,20260714
performance_only,7,25,585,0,20260714
performance_only,8,1,342,0,20260714
performance_only,8,2,82,0,20260714
performance_only,8,3,356,0,20260714
performance_only,8,4,492,0,20260714
performance_only,8,5,592,1,20260714
performance_only,8,6,380,0,20260714
performance_only,8,7,518,1,20260714
performance_only,8,8,644,1,20260714
performance_only,8,9,630,0,20260714
performance_only,8,10,512,1,20260714
performance_only,8,11,506,1,20260714
performance_only,8,12,167,0,20260714
performance_only,8,13,50,1,20260714
performance_only,8,14,29,1,20260714
performance_only,8,15,537,0,20260714
performance_only,8,16,41,1,20260714
performance_only,8,17,468,0,20260714
performance_only,8,18,426,1,20260714
performance_only,8,19,472,1,20260714
performance_only,8,20,74,1,20260714
performance_only,8,21,400,0,20260714
performance_only,8,22,39,0,20260714
performance_only,8,23,224,1,20260714
performance_only,8,24,641,1,20260714
performance_only,8,25,114,1,20260714
performance_only,9,1,315,1,20260714
performance_only,9,2,43,0,20260714
performance_only,9,3,414,0,20260714
performance_only,9,4,270,0,20260714
performance_only,9,5,623,0,20260714
performance_only,9,6,438,0,20260714
performance_only,9,7,215,0,20260714
performance_only,9,8,582,0,20260714
performance_only,9,9,526,0,20260714
performance_only,9,10,428,1,20260714
performance_only,9,11,134,0,20260714
performance_only,9,12,332,1,20260714
performance_only,9,13,112,0,20260714
performance_only,9,14,382,1,20260714
performance_only,9,15,152,1,20260714
performance_only,9,16,2,0,20260714
performance_only,9,17,274,1,20260714
performance_only,9,18,530,0,20260714
performance_only,9,19,245,1,20260714
performance_only,9,20,448,1,20260714
performance_only,9,21,477,0,20260714
performance_only,9,22,401,0,20260714
performance_only,9,23,466,1,20260714
performance_only,9,24,514,0,20260714
performance_only,9,25,91,1,20260714
performance_only,10,1,626,0,20260714
performance_only,10,2,276,1,20260714
performance_only,10,3,243,0,20260714
performance_only,10,4,109,1,20260714
performance_only,10,5,684,0,20260714
performance_only,10,6,532,0,20260714
performance_only,10,7,575,0,20260714
performance_only,10,8,42,0,20260714
performance_only,10,9,194,1,20260714
performance_only,10,10,678,0,20260714
performance_only,10,11,338,0,20260714
performance_only,10,12,547,1,20260714
performance_only,10,13,647,0,20260714
performance_only,10,14,578,1,20260714
performance_only,10,15,231,1,20260714
performance_only,10,16,66,1,20260714
performance_only,10,17,545,0,20260714
performance_only,10,18,563,0,20260714
performance_only,10,19,542,0,20260714
performance_only,10,20,486,1,20260714
performance_only,10,21,9,0,20260714
performance_only,10,22,423,1,20260714
performance_only,10,23,310,1,20260714
performance_only,10,24,265,1,20260714
performance_only,10,25,177,0,20260714
performance_only,11,1,407,1,20260714
performance_only,11,2,330,1,20260714
performance_only,11,3,527,1,20260714
performance_only,11,4,107,0,20260714
performance_only,11,5,63,0,20260714
performance_only,11,6,348,0,20260714
performance_only,11,7,548,1,20260714
performance_only,11,8,226,1,20260714
performance_only,11,9,689,0,20260714
performance_only,11,10,609,0,20260714
performance_only,11,11,521,1,20260714
performance_only,11,12,589,0,20260714
performance_only,11,13,250,0,20260714
performance_only,11,14,240,0,20260714
performance_only,11,15,495,1,20260714
performance_only,11,16,187,0,20260714
performance_only,11,17,700,1,20260714
performance_only,11,18,149,1,20260714
performance_only,11,19,252,1,20260714
performance_only,11,20,335,0,20260714
performance_only,11,21,221,0,20260714
performance_only,11,22,420,1,20260714
performance_only,11,23,78,1,20260714
performance_only,11,24,118,0,20260714
performance_only,11,25,611,1,20260714
performance_only,12,1,496,1,20260714
performance_only,12,2,131,1,20260714
performance_only,12,3,85,1,20260714
performance_only,12,4,171,1,20260714
performance_only,12,5,539,0,20260714
performance_only,12,6,232,1,20260714
performance_only,12,7,123,1,20260714
performance_only,12,8,239,0,20260714
performance_only,12,9,174,1,20260714
performance_only,12,10,341,0,20260714
performance_only,12,11,343,0,20260714
performance_only,12,12,333,1,20260714
performance_only,12,13,148,1,20260714
performance_only,12,14,392,0,20260714
performance_only,12,15,323,0,20260714
performance_only,12,16,435,1,20260714
performance_only,12,17,498,0,20260714
performance_only,12,18,562,0,20260714
performance_only,12,19,145,0,20260714
performance_only,12,20,28,1,20260714
performance_only,12,21,538,1,20260714
performance_only,12,22,256,0,20260714
performance_only,12,23,206,0,20260714
performance_only,12,24,46,0,20260714
performance_only,12,25,308,1,20260714
performance_only,13,1,528,1,20260714
performance_only,13,2,583,1,20260714
performance_only,13,3,670,1,20260714
performance_only,13,4,283,1,20260714
performance_only,13,5,653,0,20260714
performance_only,13,6,581,1,20260714
performance_only,13,7,520,0,20260714
performance_only,13,8,457,1,20260714
performance_only,13,9,138,0,20260714
performance_only,13,10,491,1,20260714
performance_only,13,11,367,1,20260714
performance_only,13,12,133,1,20260714
performance_only,13,13,394,1,20260714
performance_only,13,14,384,1,20260714
performance_only,13,15,69,0,20260714
performance_only,13,16,100,0,20260714
performance_only,13,17,360,1,20260714
performance_only,13,18,298,1,20260714
performance_only,13,19,108,1,20260714
performance_only,13,20,331,1,20260714
performance_only,13,21,262,1,20260714
performance_only,13,22,549,0,20260714
performance_only,13,23,374,1,20260714
performance_only,13,24,606,1,20260714
performance_only,13,25,594,0,20260714
performance_only,14,1,71,1,20260714
performance_only,14,2,410,1,20260714
performance_only,14,3,643,0,20260714
performance_only,14,4,377,0,20260714
performance_only,14,5,115,0,20260714
performance_only,14,6,413,1,20260714
performance_only,14,7,564,0,20260714
performance_only,14,8,396,0,20260714
performance_only,14,9,67,0,20260714
performance_only,14,10,336,0,20260714
performance_only,14,11,480,0,20260714
performance_only,14,12,424,1,20260714
performance_only,14,13,75,0,20260714
performance_only,14,14,211,0,20260714
performance_only,14,15,422,0,20260714
performance_only,14,16,347,1,20260714
performance_only,14,17,208,1,20260714
performance_only,14,18,271,0,20260714
performance_only,14,19,405,1,20260714
performance_only,14,20,431,0,20260714
performance_only,14,21,143,1,20260714
performance_only,14,22,25,1,20260714
performance_only,14,23,79,1,20260714
performance_only,14,24,58,1,20260714
performance_only,14,25,619,1,20260714
performance_and_help,1,1,604,0,20260714
performance_and_help,1,2,598,1,20260714
performance_and_help,1,3,651,0,20260714
performance_and_help,1,4,513,1,20260714
performance_and_help,1,5,281,1,20260714
performance_and_help,1,6,399,0,20260714
performance_and_help,1,7,675,0,20260714
performance_and_help,1,8,303,0,20260714
performance_and_help,1,9,398,1,20260714
performance_and_help,1,10,299,1,20260714
performance_and_help,1,11,416,1,20260714
performance_and_help,1,12,49,0,20260714
performance_and_help,1,13,635,0,20260714
performance_and_help,1,14,464,1,20260714
performance_and_help,1,15,4,1,20260714
performance_and_help,1,16,373,0,20260714
performance_and_help,1,17,233,0,20260714
performance_and_help,1,18,205,0,20260714
performance_and_help,1,19,484,0,20260714
performance_and_help,1,20,403,1,20260714
performance_and_help,1,21,300,0,20260714
performance_and_help,1,22,524,1,20260714
performance_and_help,1,23,23,1,20260714
performance_and_help,1,24,655,0,20260714
performance_and_help,1,25,176,0,20260714
performance_and_help,2,1,418,1,20260714
performance_and_help,2,2,266,1,20260714
performance_and_help,2,3,94,0,20260714
performance_and_help,2,4,304,1,20260714
performance_and_help,2,5,19,1,20260714
performance_and_help,2,6,677,1,20260714
performance_and_help,2,7,140,0,20260714
performance_and_help,2,8,227,1,20260714
performance_and_help,2,9,352,0,20260714
performance_and_help,2,10,260,0,20260714
performance_and_help,2,11,30,1,20260714
performance_and_help,2,12,113,0,20260714
performance_and_help,2,13,197,0,20260714
performance_and_help,2,14,201,0,20260714
performance_and_help,2,15,146,1,20260714
performance_and_help,2,16,318,0,20260714
performance_and_help,2,17,617,1,20260714
performance_and_help,2,18,566,0,20260714
performance_and_help,2,19,387,0,20260714
performance_and_help,2,20,334,0,20260714
performance_and_help,2,21,135,0,20260714
performance_and_help,2,22,340,1,20260714
performance_and_help,2,23,11,0,20260714
performance_and_help,2,24,141,1,20260714
performance_and_help,2,25,319,1,20260714
performance_and_help,3,1,551,1,20260714
performance_and_help,3,2,650,1,20260714
performance_and_help,3,3,388,0,20260714
performance_and_help,3,4,628,0,20260714
performance_and_help,3,5,126,0,20260714
