worker_id;correct_letters;letters_revealed
W001;18;4
W002;18;16
W003;21;0
W004;12;0
W005;9;20
W006;20;3
W007;15;10
W008;15;10
W009;22;22
W010;6;2
W011;14;2
W012;14;18
W013;19;8
W014;11;8
W015;7;22
W016;21;1
W017;17;6
W018;16;14
W019;10;0
W020;10;22
W021;20;5
W022;13;17
W023;12;12
W024;12;4
W025;16;19
W026;19;7
W027;8;6
W028;18;6
W029;22;0
W030;22;15
W031;13;9
W032;17;9
W033;5;21
W034;20;2
W035;18;13
W036;14;5
W037;11;3
W038;11;19
W039;19;11
W040;16;1
W041;6;15
W042;15;15
W043;21;4
W044;9;18
W045;14;22
W046;14;0
W047;17;7
W048;20;12
W049;8;8
W050;8;14
