worker_id,correct_letters,letters_revealed
W0001,10,16
W0002,17,4
W0003,1,15
W0004,8,3
W0005,15,14
W0006,22,2
W0007,6,13
W0008,13,1
W0009,20,12
W0010,4,0
W0011,11,11
W0012,18,22
W0013,2,10
W0014,9,21
W0015,16,9
W0016,0,20
W0017,7,8
W0018,14,19
W0019,21,7
W0020,5,18
W0021,12,6
W0022,19,17
W0023,3,5
W0024,10,16
W0025,17,4
W0026,1,15
W0027,8,3
W0028,15,14
W0029,22,2
W0030,6,13
W0031,13,1
W0032,20,12
W0033,4,0
W0034,11,11
W0035,18,22
W0036,2,10
W0037,9,21
W0038,16,9
W0039,0,20
W0040,7,8
W0041,14,19
W0042,21,7
W0043,5,18
W0044,12,6
W0045,19,17
W0046,3,5
W0047,10,16
W0048,17,4
W0049,1,15
W0050,8,3
W0051,15,14
W0052,22,2
W0053,6,13
W0054,13,1
W0055,20,12
W0056,4,0
W0057,11,11
W0058,18,22
W0059,2,10
W0060,9,21
W0061,16,9
W0062,0,20
W0063,7,8
W0064,14,19
W0065,21,7
W0066,5,18
W0067,12,6
W0068,19,17
W0069,3,5
W0070,10,16
W0071,17,4
W0072,1,15
W0073,8,3
W0074,15,14
W0075,22,2
W0076,6,13
W0077,13,1
W0078,20,12
W0079,4,0
W0080,11,11
W0081,18,22
W0082,2,10
W0083,9,21
W0084,16,9
W0085,0,20
W0086,7,8
W0087,14,19
W0088,21,7
W0089,5,18
W0090,12,6
W0091,19,17
W0092,3,5
W0093,10,16
W0094,17,4
W0095,1,15
W0096,8,3
W0097,15,14
W0098,22,2
W0099,6,13
W0100,13,1
W0101,20,12
W0102,4,0
W0103,11,11
W0104,18,22
W0105,2,10
W0106,9,21
W0107,16,9
W0108,0,20
W0109,7,8
W0110,14,19
W0111,21,7
W0112,5,18
W0113,12,6
W0114,19,17
W0115,3,5
W0116,10,16
W0117,17,4
W0118,1,15
W0119,8,3
W0120,15,14
W0121,22,2
W0122,6,13
W0123,13,1
W0124,20,12
W0125,4,0
W0126,11,11
W0127,18,22
W0128,2,10
W0129,9,21
W0130,16,9
W0131,0,20
W0132,7,8
W0133,14,19
W0134,21,7
W0135,5,18
W0136,12,6
W0137,19,17
W0138,3,5
W0139,10,16
W0140,17,4
W0141,1,15
W0142,8,3
W0143,15,14
W0144,22,2
W0145,6,13
W0146,13,1
W0147,20,12
W0148,4,0
W0149,11,11
W0150,18,22
W0151,2,10
W0152,9,21
W0153,16,9
W0154,0,20
W0155,7,8
W0156,14,19
W0157,21,7
W0158,5,18
W0159,12,6
W0160,19,17
W0161,3,5
W0162,10,16
W0163,17,4
W0164,1,15
W0165,8,3
W0166,15,14
W0167,22,2
