pair_id,worker_1_id,worker_1_correct,worker_1_help,worker_2_id,worker_2_correct,worker_2_help,matching_seed
1,W0441,8,3,W0397,22,2,20260713
2,W0091,19,17,W1205,20,12,20260713
3,W1250,13,1,W0992,1,15,20260713
4,W0412,12,6,W1082,10,16,20260713
5,W0231,10,16,W0852,10,16,20260713
6,W1125,12,6,W0008,13,1,20260713
7,W0177,0,20,W0208,10,16,20260713
8,W0156,14,19,W1369,18,22,20260713
9,W0243,2,10,W0040,7,8,20260713
10,W0592,7,8,W0297,12,6,20260713
11,W0109,7,8,W0241,11,11,20260713
12,W1070,18,22,W0935,16,9,20260713
13,W1289,10,16,W0194,4,0,20260713
14,W0551,19,17,W0835,6,13,20260713
15,W0755,21,7,W1146,21,7,20260713
16,W0627,22,2,W0280,8,3,20260713
17,W1321,4,0,W1305,7,8,20260713
18,W0388,5,18,W0128,2,10,20260713
19,W0305,22,2,W0511,15,14,20260713
20,W0682,16,9,W0659,16,9,20260713
21,W1071,2,10,W1001,18,22,20260713
22,W1278,2,10,W0358,2,10,20260713
23,W1213,7,8,W1042,6,13,20260713
24,W1096,16,9,W0896,19,17,20260713
25,W0219,18,22,W0656,18,22,20260713
26,W0148,4,0,W0869,14,19,20260713
27,W0336,9,21,W0090,12,6,20260713
28,W0604,22,2,W1090,20,12,20260713
29,W1175,17,4,W0003,1,15,20260713
30,W0347,17,4,W0730,7,8,20260713
31,W0240,4,0,W0215,13,1,20260713
32,W1230,11,11,W1069,11,11,20260713
33,W0542,2,10,W0994,15,14,20260713
34,W0140,17,4,W0325,1,15,20260713
35,W0564,18,22,W1067,20,12,20260713
36,W0030,6,13,W0547,14,19,20260713
37,W0929,20,12,W0183,19,17,20260713
38,W1379,19,17,W0507,10,16,20260713
39,W0817,18,22,W0720,6,13,20260713
40,W0982,0,20,W0727,9,21,20260713
41,W0403,18,22,W0339,7,8,20260713
42,W0355,4,0,W0606,13,1,20260713
43,W1053,14,19,W0567,16,9,20260713
44,W1258,0,20,W1243,10,16,20260713
45,W0973,6,13,W0575,3,5,20260713
46,W1350,0,20,W1085,8,3,20260713
47,W0500,7,8,W1229,4,0,20260713
48,W1168,14,19,W0749,2,10,20260713
49,W0541,18,22,W0126,11,11,20260713
50,W0401,4,0,W0758,19,17,20260713
51,W0648,8,3,W0540,11,11,20260713
52,W0255,17,4,W1195,19,17,20260713
53,W1136,20,12,W1340,22,2,20260713
54,W0225,14,19,W0371,1,15,20260713
55,W0247,7,8,W0980,9,21,20260713
56,W0491,13,1,W0995,22,2,20260713
57,W0941,12,6,W0432,14,19,20260713
58,W0218,11,11,W0217,4,0,20260713
59,W0554,17,4,W0791,20,12,20260713
60,W0513,6,13,W0151,2,10,20260713
61,W0214,6,13,W0099,6,13,20260713
62,W0290,9,21,W1038,1,15,20260713
63,W0341,21,7,W0244,9,21,20260713
64,W0603,15,14,W0353,13,1,20260713
65,W0176,16,9,W0974,13,1,20260713
66,W0475,16,9,W0494,11,11,20260713
67,W0810,15,14,W1020,13,1,20260713
68,W0958,16,9,W0943,3,5,20260713
69,W0916,21,7,W0131,0,20,20260713
70,W1193,5,18,W1052,7,8,20260713
71,W0361,0,20,W1104,3,5,20260713
72,W0205,12,6,W0808,1,15,20260713
73,W1239,5,18,W1374,7,8,20260713
